episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
98,60,-0.2,2.0,5.6,0,0.335,0.00649,713.5
99,60,-0.3,3.0,2.2,0,0.328,0.00565,720.9
100,60,-0.3,3.0,17.2,0,0.321,0.00687,728.4
101,60,-2.2,22.0,-2.25,0,0.315,0.00776,735.7
102,60,-2.2,22.0,-13.75,0,0.308,0.00735,742.8
103,60,-0.5,5.0,1.9,0,0.301,0.00624,750.1
104,60,-1.3,13.0,0.45,0,0.294,0.00594,757.6
105,60,-0.2,2.0,7.75,0,0.288,0.00608,765.0
106,60,-1.1,11.0,-1.4,0,0.281,0.00685,772.4
107,60,-0.6,6.0,-8.75,0,0.274,0.00703,779.8
108,60,-0.5,5.0,13.85,0,0.267,0.00715,787.3
109,60,-0.2,2.0,8.45,0,0.26,0.00844,794.7
110,60,-0.3,3.0,2.2,0,0.254,0.00858,802.2
111,60,-0.2,2.0,4.9,0,0.247,0.00777,809.6
112,60,0.0,0.0,-0.0,0,0.24,0.00967,817.0
113,60,-0.2,2.0,8.6,0,0.233,0.01092,824.4
114,60,-2.1,21.0,-13.0,0,0.226,0.0102,831.7
115,60,-0.8,8.0,1.2,0,0.22,0.01103,839.0
116,60,-1.2,12.0,8.0,0,0.213,0.00913,846.5
117,60,0.0,0.0,-0.0,0,0.206,0.00738,853.9
118,60,-2.7,27.0,-2.7,0,0.199,0.00877,861.3
119,60,-2.4,24.0,-6.3,0,0.193,0.00956,868.6
120,60,-1.1,11.0,2.8,0,0.186,0.00863,876.0
121,60,0.1,-1.0,7.5,0,0.179,0.01019,883.6
122,60,-0.2,2.0,7.35,0,0.172,0.0112,891.2
123,60,-0.2,2.0,6.9,0,0.165,0.00952,898.7
124,60,-2.1,21.0,-4.95,0,0.159,0.00882,906.1
125,60,-0.2,2.0,8.95,0,0.152,0.0091,913.6
126,60,-2.2,22.0,-11.75,0,0.145,0.01013,920.9
127,60,-0.2,2.0,7.55,0,0.138,0.01002,928.5
128,60,-0.1,1.0,6.9,0,0.131,0.01188,936.1
129,60,-0.2,2.0,6.75,0,0.125,0.01105,943.7
130,60,-0.5,5.0,-13.2,0,0.118,0.01126,951.2
131,60,-1.4,14.0,-9.8,0,0.111,0.01127,958.5
132,60,-0.1,1.0,7.25,0,0.104,0.00926,966.1
133,60,-2.2,22.0,-12.05,0,0.098,0.00918,973.4
134,60,-0.3,3.0,-0.35,0,0.091,0.00872,980.8
135,36,-2.8,28.0,-19.95,0,0.084,0.00939,985.9
136,60,-2.3,23.0,-19.25,0,0.077,0.01171,993.5
137,60,0.0,0.0,6.6,0,0.07,0.01002,1001.0
138,60,-2.1,21.0,-11.1,0,0.064,0.00828,1008.4
139,60,-0.1,1.0,7.25,0,0.057,0.00849,1016.0
140,60,-0.1,1.0,7.25,0,0.05,0.01136,1023.6
141,60,-0.3,3.0,1.1,0,0.05,0.01272,1031.3
142,60,-0.4,4.0,4.55,0,0.05,0.01319,1038.7
143,60,-0.5,5.0,3.5,0,0.05,0.01139,1046.4
144,53,-3.8,38.0,-17.95,0,0.05,0.01146,1051.6
145,60,-0.5,5.0,4.35,0,0.05,0.01146,1059.2
146,60,-0.1,1.0,7.25,0,0.05,0.01432,1066.8
147,60,-0.2,2.0,4.1,0,0.05,0.0148,1074.3
148,60,-0.2,2.0,4.1,0,0.05,0.01106,1081.8
149,60,-0.4,4.0,4.2,0,0.05,0.01042,1089.4
150,60,-0.7,7.0,2.3,0,0.05,0.01085,1096.9
151,60,-0.8,8.0,2.35,0,0.05,0.01021,1104.3
152,60,-1.6,16.0,-2.0,0,0.05,0.00953,1111.7
153,60,-0.5,5.0,5.3,0,0.05,0.01108,1119.2
154,60,-0.5,5.0,7.85,0,0.05,0.00906,1126.5
155,60,-0.2,2.0,3.5,0,0.05,0.01014,1134.2
156,60,-0.4,4.0,2.6,0,0.05,0.01116,1141.8
157,60,-0.4,4.0,4.5,0,0.05,0.00974,1149.1
158,60,-0.5,5.0,5.3,0,0.05,0.01142,1156.5
159,60,0.0,0.0,6.2,0,0.05,0.00933,1164.0
160,60,-1.5,15.0,1.75,0,0.05,0.00764,1171.5
161,60,-0.1,1.0,11.0,0,0.05,0.00902,1179.1
162,60,-0.9,9.0,-6.0,0,0.05,0.00852,1186.7
163,60,-2.0,20.0,2.45,0,0.05,0.00867,1193.9
164,60,-1.6,16.0,4.0,0,0.05,0.00997,1201.2
165,60,-0.4,4.0,3.3,0,0.05,0.01018,1208.8
166,60,-2.0,20.0,-11.6,0,0.05,0.00948,1216.1
167,60,-0.2,2.0,3.05,0,0.05,0.00965,1223.7
168,60,-1.1,11.0,0.9,0,0.05,0.00746,1231.2
