episode,global_step,ep_reward,ep_native,ep_material,ep_moves,ep_len,epsilon,mean_loss,reward_ma100
87,176000,-0.2,0.0,-8.0,12,2000,0.05,0.00015,0.412
88,178000,0.0,0.0,-6.0,12,2000,0.05,0.00014,0.408
89,180000,0.0,0.0,-6.0,12,2000,0.05,0.00015,0.403
90,182000,-0.1,0.0,-7.0,12,2000,0.05,0.00015,0.398
91,184000,0.95,0.0,-5.0,29,2000,0.05,0.00011,0.404
92,186000,0.75,0.0,-5.0,25,2000,0.05,0.00011,0.408
93,188000,0.7,0.0,-7.0,30,2000,0.05,0.00015,0.411
94,190000,-0.3,0.0,-8.0,10,2000,0.05,0.00016,0.403
95,192000,0.05,0.0,-5.0,11,2000,0.05,0.00012,0.399
96,194000,0.1,0.0,-5.0,12,2000,0.05,0.00012,0.396
97,196000,-0.1,0.0,-7.0,12,2000,0.05,0.00013,0.391
98,198000,1.25,0.0,-4.0,45,2000,0.05,0.00014,0.4
99,200000,18.15,0.0,3.0,185,2000,0.05,0.00023,0.577
100,202000,0.05,0.0,-5.0,11,2000,0.05,0.00039,0.578
101,204000,14.35,0.0,0.0,203,2000,0.05,0.00057,0.721
102,206000,0.0,0.0,-6.0,12,2000,0.05,0.00066,0.721
103,208000,0.0,0.0,-6.0,12,2000,0.05,0.00063,0.721
104,210000,0.1,0.0,-5.0,12,2000,0.05,0.00051,0.721
105,212000,0.0,0.0,0.0,0,2000,0.05,0.00046,0.656
106,214000,0.1,0.0,0.0,2,2000,0.05,0.00038,0.657
107,216000,0.0,0.0,-7.0,14,2000,0.05,0.00034,0.656
108,218000,0.1,0.0,-5.0,12,2000,0.05,0.00041,0.657
109,220000,0.1,0.0,0.0,2,2000,0.05,0.00042,0.658
110,222000,-0.1,0.0,-7.0,12,2000,0.05,0.00041,0.657
111,224000,-0.05,0.0,-6.0,11,2000,0.05,0.00045,0.657
112,226000,-0.1,0.0,-6.0,10,2000,0.05,0.00046,0.656
113,228000,0.0,0.0,0.0,0,2000,0.05,0.0005,0.657
114,230000,0.1,0.0,0.0,2,2000,0.05,0.00051,0.583
115,232000,0.0,0.0,-6.0,12,2000,0.05,0.00047,0.583
116,234000,-0.2,0.0,-7.0,10,2000,0.05,0.00044,0.582
117,236000,0.0,0.0,0.0,0,2000,0.05,0.0004,0.582
118,238000,0.55,0.0,-5.0,21,2000,0.05,0.00046,0.589
119,240000,0.0,0.0,0.0,0,2000,0.05,0.00048,0.588
120,242000,9.1,0.0,5.0,176,2000,0.05,0.00053,0.679
121,244000,1.3,0.0,-2.0,46,2000,0.05,0.00057,0.692
122,246000,0.0,0.0,0.0,0,2000,0.05,0.00047,0.692
123,248000,2.3,0.0,2.0,38,2000,0.05,0.00048,0.714
124,250000,0.1,0.0,-5.0,12,2000,0.05,0.00054,0.714
125,252000,0.0,0.0,0.0,0,2000,0.05,0.00057,0.714
126,254000,0.0,0.0,0.0,0,2000,0.05,0.00054,0.714
127,256000,0.0,0.0,0.0,0,2000,0.05,0.00047,0.712
128,258000,-0.0,0.0,-6.0,12,2000,0.05,0.0004,0.712
129,260000,-0.1,0.0,-6.0,10,2000,0.05,0.00036,0.711
130,262000,0.0,0.0,0.0,0,2000,0.05,0.00047,0.71
131,264000,-0.15,0.0,-7.0,11,2000,0.05,0.00048,0.708
132,266000,0.0,0.0,0.0,0,2000,0.05,0.00045,0.709
133,268000,1.15,0.0,-4.0,27,2000,0.05,0.00042,0.721
134,270000,0.0,0.0,0.0,0,2000,0.05,0.00037,0.721
135,272000,0.2,0.0,0.0,4,2000,0.05,0.0004,0.723
136,274000,-0.15,0.0,-7.0,11,2000,0.05,0.0004,0.721
137,276000,0.1,0.0,0.0,2,2000,0.05,0.00046,0.635
138,278000,0.05,0.0,-5.0,11,2000,0.05,0.00055,0.636
139,280000,0.2,0.0,-6.0,28,2000,0.05,0.00046,0.637
140,282000,0.1,0.0,0.0,2,2000,0.05,0.00045,0.638
141,284000,-0.05,0.0,-6.0,11,2000,0.05,0.00051,0.58
142,286000,0.5,0.0,-6.0,22,2000,0.05,0.00048,0.585
143,288000,-0.25,0.0,-8.0,11,2000,0.05,0.00051,0.582
144,290000,0.0,0.0,0.0,0,2000,0.05,0.0006,0.582
145,292000,-0.05,0.0,-6.0,11,2000,0.05,0.00069,0.582
146,294000,7.3,0.0,0.0,162,2000,0.05,0.00073,0.655
147,296000,0.0,0.0,0.0,0,2000,0.05,0.00067,0.655
148,298000,6.65,0.0,0.0,137,2000,0.05,0.00076,0.721
149,300000,-0.3,0.0,-8.0,10,2000,0.05,0.00082,0.717
