episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
97,6,-0.3,3.0,-2.2,0,0.342,0.08293,514.6
98,60,0.1,-1.0,6.9,0,0.335,0.08242,519.9
99,60,0.0,0.0,-0.0,0,0.328,0.07992,529.9
100,60,-1.3,13.0,-8.15,0,0.321,0.09497,536.1
101,60,0.0,0.0,7.35,0,0.315,0.09431,541.7
102,60,0.7,-7.0,-1.8,0,0.308,0.08697,548.9
103,60,1.5,-15.0,16.0,0,0.301,0.08508,553.1
104,10,-1.8,18.0,-17.3,0,0.294,0.08321,555.0
105,60,0.0,0.0,6.1,0,0.288,0.08527,561.1
106,5,-4.4,44.0,-17.2,0,0.281,0.08538,563.8
107,60,1.2,-12.0,-3.2,0,0.274,0.09716,575.6
108,8,-0.0,0.0,-0.0,0,0.267,0.09462,579.0
109,60,-0.2,2.0,6.15,0,0.26,0.09176,585.1
110,60,-6.4,64.0,-5.55,0,0.254,0.08181,589.8
111,13,-9.2,92.0,-8.1,0,0.247,0.09099,591.9
112,60,-2.2,22.0,-4.05,0,0.24,0.10888,598.0
113,12,0.0,0.0,1.4,0,0.233,0.10716,602.0
114,60,0.0,0.0,15.2,0,0.226,0.10459,607.9
115,17,-1.8,18.0,-0.0,0,0.22,0.10594,611.4
116,60,0.0,0.0,7.3,0,0.213,0.11686,616.9
117,60,-1.5,15.0,-13.65,0,0.206,0.11872,623.2
118,60,0.0,0.0,9.3,0,0.199,0.12283,628.7
119,60,-0.1,1.0,-0.1,0,0.193,0.11171,634.1
120,60,11.2,-112.0,99.6,0,0.186,0.10961,636.9
121,60,-4.9,49.0,-35.55,0,0.179,0.13343,640.7
122,60,0.2,-2.0,3.8,0,0.172,0.12972,647.9
123,60,-0.4,4.0,1.85,0,0.165,0.12076,653.6
124,60,-1.8,18.0,-0.0,0,0.159,0.12586,663.6
125,10,-3.1,31.0,-7.3,0,0.152,0.13255,665.5
126,60,-0.5,5.0,8.9,0,0.145,0.12992,671.1
127,7,-2.7,27.0,-25.55,0,0.138,0.12357,674.2
128,60,0.2,-2.0,1.3,0,0.131,0.10852,679.7
129,17,0.0,0.0,1.1,0,0.125,0.09724,684.3
130,60,1.3,-13.0,9.8,0,0.118,0.10687,687.6
131,60,-1.5,15.0,-8.85,0,0.111,0.1266,694.0
132,6,-0.1,1.0,-0.2,0,0.104,0.12668,697.0
133,6,-0.1,1.0,-0.2,0,0.098,0.12557,699.9
134,15,-14.7,147.0,-21.05,0,0.091,0.12458,703.1
135,60,0.0,0.0,3.9,0,0.084,0.11852,708.7
136,60,0.0,0.0,3.65,0,0.077,0.13833,714.4
137,6,-0.3,3.0,-0.0,0,0.07,0.13988,716.5
138,6,-0.3,3.0,-0.0,0,0.064,0.13944,718.5
139,6,-0.3,3.0,-0.0,0,0.057,0.13605,720.6
140,15,-2.2,22.0,2.45,0,0.05,0.13923,723.1
141,60,-0.5,5.0,0.25,0,0.05,0.13281,729.2
142,60,-0.1,1.0,7.3,0,0.05,0.11193,734.9
143,60,-0.5,5.0,-1.5,0,0.05,0.12611,740.6
144,12,-0.3,3.0,-0.0,0,0.05,0.12359,744.5
145,8,-0.3,3.0,-1.5,0,0.05,0.13339,747.8
146,60,-0.5,5.0,-9.8,0,0.05,0.14586,753.9
147,60,-0.1,1.0,5.15,0,0.05,0.11601,759.6
148,60,-1.7,17.0,-5.05,0,0.05,0.11507,766.2
149,60,-2.6,26.0,-3.55,0,0.05,0.13433,769.3
150,60,0.0,0.0,-0.0,0,0.05,0.12921,779.5
151,60,-0.5,5.0,9.75,0,0.05,0.11887,785.5
152,60,-0.1,1.0,1.9,0,0.05,0.11643,791.1
153,6,-0.0,0.0,1.6,0,0.05,0.12093,794.1
154,6,-0.0,0.0,1.6,0,0.05,0.12286,797.0
155,60,-0.1,1.0,1.9,0,0.05,0.1209,802.6
156,10,-4.5,45.0,-0.2,0,0.05,0.12565,804.9
157,60,-0.0,0.0,8.95,0,0.05,0.11522,810.8
158,11,-6.7,67.0,-22.75,0,0.05,0.11794,814.5
159,60,-1.1,11.0,-7.45,0,0.05,0.13905,820.4
160,60,-0.1,1.0,1.1,0,0.05,0.15432,826.1
161,10,-2.9,29.0,-22.75,0,0.05,0.15807,827.8
162,60,-0.5,5.0,-4.95,0,0.05,0.13847,833.4
163,60,-0.4,4.0,6.2,0,0.05,0.15721,839.1
164,12,-2.7,27.0,-0.0,0,0.05,0.16904,843.1
165,60,0.8,-8.0,0.4,0,0.05,0.15729,855.4
166,60,-0.2,2.0,-2.85,0,0.05,0.15785,861.4
167,60,5.0,-50.0,47.5,0,0.05,0.17363,865.2
168,5,-0.5,5.0,1.65,0,0.05,0.17212,866.1
169,5,-0.5,5.0,1.65,0,0.05,0.17515,867.1
170,5,-0.5,5.0,1.65,0,0.05,0.1729,868.1
171,5,-0.5,5.0,1.65,0,0.05,0.1779,869.0
172,5,-0.5,5.0,1.65,0,0.05,0.16805,870.0
173,60,-2.4,24.0,14.1,0,0.05,0.15528,876.2
174,60,-0.0,0.0,1.0,0,0.05,0.17265,882.2
175,60,-0.9,9.0,-7.25,0,0.05,0.17614,888.4
176,15,-2.2,22.0,-1.45,0,0.05,0.18973,890.3
177,7,0.0,0.0,-0.0,0,0.05,0.1838,892.2
178,60,-0.4,4.0,3.8,0,0.05,0.16715,898.3
179,60,-0.5,5.0,3.6,0,0.05,0.16568,904.3
180,60,-0.7,7.0,-1.7,0,0.05,0.17456,910.0
181,60,-0.4,4.0,4.55,0,0.05,0.17477,915.6
182,60,-0.1,1.0,11.35,0,0.05,0.18104,921.2
